Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Proj Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Jyun-Yue Tseng","SIRP","CPBL",2024,"22.1861111","Taiwan","Fubon Guardians",,,"5' 8""","155","R","R","40+","Med","Young reliever Jyun-Yue Tseng led the 2022 and 2023 CPBL in strikeout rate among hurlers who threw at least 50 innings, and was the youngest member of Taiwan's 2023 World Baseball Classic team. He has a power fastball that peaks at 99 mph and sits 93-96 with flat angle created by his lack of height. At 5-foot-8, Tseng is short but he isn't small, and his lower body is incredibly strong and flexible, helping quell concerns about any kind of durability issues. Conversely, Tseng enjoys the benefits of having a lower release height because he's so short, which helps the bat-missing shape of his fastball. The finish of his slurve is rather inconsistent, but it's possible a big league dev program will quickly improve that part of his game. He looks like a solid middle reliever by virtue of his fastball, and he has a chance to be a more impactful, higher-leverage contributor if an MLB team can improve his breaking ball. Somewhat surprisingly, he filed for international free agency after the 2023 season. Because he isn't old enough to be exempt from MLB's international bonus restrictions (he has neither the foreign pro experience nor the requisite age to be a true free agent), it's probable an NPB team will trump what MLB clubs could offer Jyun-Yue this offseason. MLB teams with late-market 2023 international bonus pool space should at least kick the tires on this guy just in case he can be coaxed here instead.",,
"Luis Cova","CF","Int'l Amateur",2024,"16.9527777","Venezuela",,"MIA",1400000,"6' 2""","175","R","R","40+","High","Cova is a tall, long-levered, projectable outfield prospect who seemed to last deeper into the international scouting process than most premium prospects before reportedly agreeing to a $1.4 million deal with Miami. Cova's combination of physical projection and present skill makes him one of the more well-rounded players in the 2024 international class. Scouts are split as to whether his frame will eventually cause him to outgrow center field, but there is general agreement that he is both currently fast enough to give it a try and that he has a promising enough hit/power combination to profile in a corner if he has to move. Cova is currently a little less twitchy and explosive (he's more elegant and smooth) than some of the other excellent prospects in the class, sliding him a FV tier below the top group.",,
"Seiya Yokoyama","SS","NPB",2030,"18.2111111","Japan","Orix Buffaloes",,,"5' 11""","175","L","L","40+","High","The lone 2023 NPB draftee to be included on the 2023-24 offseason update of this list, Yokoyama was the first round pick of the Orix Buffalo. The lefty-hitting high school infielder may not have enough arm to stick at shortstop, but he does everything else well, and he packs quite a wallop for a hitter his age and his size. The bat speed and barrel control pieces of Yokoyama's profile are very exciting, and he could hit enough to be a dynamic big league second baseman way, way down the line even if he can't stick at short. This is an exciting teenage hitter poised to be a star in Japan.",,
"Shugo Maki","2B","NPB",2027,"25.7305555","Japan","Yokohama BayStars",,,"5' 10""","205","R","R","40+","Med","Maki once again had a career year in 2023 as he slashed .293/.337/.530 with 29 homers. He has now exceeded 22 homers in each of his three NPB seasons, and Maki has maintained a 90% in-zone contact rate the last two seasons. He's still not a very good defensive second baseman and he might be better suited at first. His tendency to chase is a little scary considering where he might ultimately wind up on the defensive spectrum, but Maki's contact ability helps cool those concerns somewhat. He could be a Dan Uggla type of slugging second baseman.","qeUtIWoEDlw",
"Francisco Vilorio","RF","Int'l Amateur",2024,"17.2055555","Dominican Republic",,"NYY",1700000,"6' 3""","175","R","R","40+","High","The Yankees rookie ball rosters are full of ultra muscular power hitting prospects and Vilorio is going to join those ranks when he signs for approximately $1.7 million. Vilorio is much stronger and more physically mature than the typical international amateur prospect, and he has the power to match, thump he can generate with wrist-flicking ease. That strength has come on during the last year and a half or so. Vilorio stopped showcasing for teams once he had a verbal deal with the Yankees and put on a ton of muscle behind the scenes before reemerging closer to signing day with a body-builder's physique. There aren't many meaningful scouting thoughts around Vilorio's hit tool due to a lack of looks, but as a corner outfield prospect, he'll need to have a good one to profile.",,
"Liván Moinelo","SIRP","NPB",2025,"28.1","Japan","Fukuoka Hawks",,,"6' 0""","175","L","L","40+","High","I projected Moinelo to come to the U.S. during the 2023-24 offseason, but his 2023 campaign was cut short due to arthroscopic elbow surgery for osteochondritis dissecans, an injury involving bone and cartilage (and not ligaments) more common in youth athletes than pro pitchers. This, plus Moinelo's recent stated desire to move from the bullpen to the starting rotation, makes his potential MLB timeline and role less clear than it has been for the last handful of years when he's been a steady late-inning reliever for Fukuoka as well as the Cuban National Team. Moinelo certainly has the stuff to start, but whether or not he has the command and stamina (especially coming off of a surgery) we just won't know until he's asked to pitch through a lineup multiple times. Prior to his injury, Moinelo was sitting 95 mph and touching 98 with regularity while mixing in three MLB-quality secondary pitches pretty evenly. His upper-80s slider and mid-80s curveball (which often spin in excess of 2,900 rpm) have distinct shapes, while Moinelo's changeup quality has dipped a bit as his arm slot has been raised to a more due north position. His walk rates have come way down the last two seasons, but especially in 2023 when he threw just shy of 30 innings before blowing out; it's a pretty small sample and not enough for me to comfortably project him as a starter just yet. How healthy he looks and whether or not he takes to his desired role in 2024 will dictate how he grades out in this space next year, but for now I'm continuing to project Moinelo as a potential set-up man.","7vVWNzQIrd0",
"Yovanny Rodriguez","C","Int'l Amateur",2024,"17.1861111","Dominican Republic",,"NYM",2800000,"5' 11""","180","R","R","40+","High","Rodriguez, expected to get just north of $2.5 million from the Mets, has a classic power-hitting catcher skill set in a scaled-down Gary Sánchez mold. Built to withstand the rigors of a full season of catching, the broad-shouldered Rodriguez has big pull power and arm strength.",,
"Yunior Arias","RF","Int'l Amateur",2024,"17.2722222","Dominican Republic",,"TOR",900000,"6' 4""","190","R","R","40","High","Arias was one of the first couple of prospects from this class who was widely known about, and he was originally rumored to have a $2 million agreement with the Blue Jays that now seems to have come down to just shy of $1 million for reasons that are unclear. While he's almost certainly a corner-only defender, Arias' hit/power combination is lauded by scouts and not all that different from those of the 45 FV corner outfielders near the top of the class. Teams aren't sure what happened here to cause Arias' bonus to come in below what their/my initial intel suggested.",,
"Belfi Rivera","CF","Int'l Amateur",2024,"17.0777777","Dominican Republic",,"ARI",1800000,"5' 11""","160","L","L","40","High","Rivera is a projectable speedster with a clean lefty swing. His footwork in the box isn't always great, but Rivera's hands are smooth and authoritative for an athlete his size. Rivera has among the better chances to retain his plus speed and stay in center field. His route to an everyday role is more likely to come via a balanced hit/power combo rather than a truly plus offensive tool.",,
"Jhonaykel Ugarte","3B","Int'l Amateur",2024,"16.8388888","Dominican Republic",,"KCR",1300000,"6' 2""","190","R","R","40","High","Ugarte's gotten stronger as signing day has approached, and while that's likely sealed his fate as a future third baseman rather than a potential shortstop, his hit/power combination excites scouts. Every scout I talked to thought Ugarte belonged higher up on this list than where he'd rank if we just lined up players based on their bonus. His hands are quiet but explosive, and his bat path is on plane with the pitch for most of its journey. Ugarte's rumored deal is for $1.3 million with the Royals.",,
"Emilio Sanchez","SS","Int'l Amateur",2024,"16.7527777","Dominican Republic",,"BAL",1700000,"6' 1""","170","L","R","40","Med","Sanchez is a well-rounded switch-hitting infielder who can do a little bit of everything. He's a smooth operator in the batter's box and on the infield dirt. Sanchez's frame is small-ish, but well-composed. Scouts are divided as to whether he'll grow into as much meaningful strength and power as the similarly skilled shortstops in the 40+ FV tier, making Sanchez more of a high-floor utility prospect than a potential impact player at this stage.",,
"Abdiel Feliz","SS","Int'l Amateur",2024,"16.8916666","Dominican Republic",,"PIT",1200000,"6' 0""","160","S","R","40","High","Feliz checks a lot of the scouting boxes I covet; he's a projectable switch-hitting shortstop and a graceful athlete. His swing is a bit long and loping, but he may be able to shorten up as he gets stronger. The Pirates rumored commitment to Feliz is for about $1.2 million.",,
"Luis Peña","SS","Int'l Amateur",2024,"17.1694444","Dominican Republic",,"MIL",850000,"5' 11""","165","R","R","40","Med","Straight out of Brewers' infield prospect central casting comes Peña, who is like a little Eric Brown clone. Peña's well-built, medium frame and top-hand-driven swing generate doubles pop. He may have a special enough hit tool to profile as an everyday second baseman if he can't stick at short, which scouts were split on. There are also a couple of teams that don't have much info on Peña for whatever reason; his expected bonus of $850,000 was one of the last ones I could get confirmed during the making of this list.",,
"Eric Stout","SIRP","CPBL",2024,"30.7972222","Butler","Chinatrust Brothers",,,"6' 3""","205","L","L","40","Med","Stout signed a minor league deal with the Cubs last offseason, but they released him in April. He then signed a minor league deal with the Mariners, who released him in July so Stout could pursue an opportunity in Taiwan. He doesn't throw all that hard, usually 90-92 mph as a starter, but the uphill angle on Stout's fastball and the length of his low-80s sweeper are the sort of quantifiable traits many teams covet. Especially if he's shifted to relief, there might be more velocity and a more comfortable second bullpen lefty profile here.","oL1pCYpZEGM","16873"
"Hiroto Takahashi","SP","NPB",2027,"21.4305555","Japan","Chunichi Dragons",,,"6' 0""","187","R","R","40","Med","Takahashi is one of the harder-throwing young pitchers in NPB, with a fastball residing in the 93-95 mph range. He's held this velocity under a 150-inning workload each of the last two seasons. The 2022-23 offseason blurb for Takahashi indicated that I wanted to see his secondary stuff take a step forward, and his splitter and curveball have begun to. The curveball now has considerably more power and showed a four-tick bump in 2023, while his splitter is garnering about 40% chase and miss rates, per Synergy. Takahashi is still very skinny (especially in his lower half) and tightly wound in a way that would give the amateur scouting world pause about his ability to start were he a college pitcher here in the U.S., but his two consecutive years of velo gain under a pretty substantial innings load help to quell those concerns. He's similar to a late second or third round draft prospect.","o3wEr_xVK1I",
"Humberto Cruz","SP","Int'l Amateur",2024,"17.0722222","Mexico",,"SDP",700000,"6' 0""","150","R","R","40","Med","Cruz, who hails from Monterrey, is another in the long line of interesting Mexican pitching prospects seemingly headed for the Padres org. Cruz is loose and rather projectable despite his small-ish listed height. His gorgeous delivery is similar to Brandon Pfaadt's and Sandy Alcantara's; everything is connected and fluid, enabling Cruz to fill the zone with upper-80s sinkers. He has a shapely (albeit inconsistent) breaking ball and tailing changeup that round out a nascent starter's pitch mix.",,
"Woo-Suk Go","SIRP","KBO",2024,"25.4388888","South Korea","LG Twins","SDP",,"6' 0""","198","R","R","40","Med","A powerful, compact athlete with big arm speed, Go is a solid middle-inning relief prospect with a bevy of offerings. He mostly leans on his mid-90s fastball (sitting 93-95 mph, up to 98) and low-90s cutter, but he'll occasionally break off a nasty 12-to-6 curveball, too. He led the KBO in saves (42) and K%-BB% (24.6%) in 2022, and was first in K% among pitchers with at least 30 innings in 2023, his second consecutive season with a strikeout rate in the 31-32% range. His feel for release is a bit inconsistent, likely limiting him to the middle innings in MLB.","P_tZWc6ZGis","sa3012630"
"Naoyuki Uwasawa","SP","NPB",2024,"29.9388888","Japan","Hokkaido Fighters",,,"6' 1""","194","R","R","40","Med","Uwasawa is a durable, strike-throwing kitchen sink righty whose stuff might be a tad better than it has played in Japan. He currently works with six different pitches, including a distinct changeup and splitter (differences in velo and spin make them easier to tell apart), and he might be better served by paring down his repertoire somewhat in MLB. Uwasawa, who worked 170 innings in 2023, has some sneaky carry on a 90 mph fastball, and he can create depth on his two slower breaking balls, but he only struck out 17% of opposing hitters in Japan. The chase rate, per Synergy, on his splitter and cutter are way better than that of his other secondary pitches, so perhaps those two will see greater usage if Uwasawa signs with a big league club looking for a consistent fifth starter.","qngfm9kCkhg","sa3023347"
"Jhonny Level","2B","Int'l Amateur",2024,"16.7916666","Venezuela",,"SFG",1300000,"5' 10""","160","S","R","40","Med","Level is very strong — he won't yet be 17 on signing day and yet he's built like Jasson Domínguez was as an amateur, with huge pythons, pecs, and traps. A lack of arm strength will likely limit him to second base, putting pressure on his offensive tools to be loud enough for him to be an everyday player. As you can imagine, there's practically no raw power projection here because Level is already so strong and maxed out. The good news is scouts like his hit tool enough to give him a puncher's chance to be an everyday guy.",,
"Richard Matic","3B","Int'l Amateur",2024,"16.4666666","Dominican Republic",,"NYY",800000,"6' 2""","230","R","R","40","High","You see massive, power-hitting prospects all over the Yankees' rookie ball backfields and Matic is of that ilk, built like a high school edge rusher prospect. He has big power and is much more graceful and athletic than most players this size. Matic's hands fire from a kind of dead stop. His swing isn't all that long, but he's still often pretty late into the contact area. If he continues to get stronger, his ability to be mechanically simple and more consistently on time should grow. While Matic is admirably agile on defense right now, it's pretty realistic to project an athlete of his size to first base. For now, I've given him some chance to stay at third.",,
"Luis Rives","RF","Int'l Amateur",2024,"19.25","Cuba",,"HOU",1000000,"6' 3""","185","S","R","40","High","Houston has often targeted Cuban players in the international amateur space, and they again have a couple of older prospects from the island set to get fairly big bonuses this year. The best of them is Rives, a powerful, switch-hitting outfielder whose agreement was first reported in March by Cuban journalist Francys Romero. Sources tell FanGraphs that Rives will get about $1 million. Rives is built like an Abercrombie model and has very dangerous power from both sides of the plate. His power stands apart from the other prospects in this class partially because Rives is two or three years older than most of his peers. The quality of pitching that he faced in Cuba does not allow for reliable statistical conversion, so we're talking about a hit tool (and player) of extreme variance and risk. Switch-hitters with this much power don't exactly grow on trees, so it feels fine to allocate about this much pool space to a profile like Rives' even with the cloudy contact forecast.",,
"Angel Brachi","2B","Int'l Amateur",2024,"17.025","Venezuela",,"TBR",800000,"5' 10""","160","R","R","40","Med","Brachi is a gritty scout favorite with limited tools but advanced baseball acumen and feel to hit. He's compactly built and performed from a contact standpoint as an amateur, so it's no surprise he reportedly has a verbal deal with Tampa Bay for about $800,000.",,
"Joswa Lugo","SS","Int'l Amateur",2024,"16.9722222","Dominican Republic",,"LAA",2800000,"6' 2""","175","R","R","40","High","Slated to sign for roughly $2.8 million, Lugo has a rare power/speed combination for an amateur. His range and arm strength will give him a chance to develop into a viable shortstop defender. Swing length and bat path efficacy create hit tool risk here.",,
"Baek-ho  Kang","1B","KBO",2025,"24.4583333","South Korea","KT Wiz",,,"6' 0""","215","L","R","40","Med","Kang has had a rough last two seasons amid a few severe injuries and other struggles. He broke his toe falling down a flight of stairs before the 2022 season started, then partially tore his hamstring just a few weeks after he returned. A bout with anxiety shelved him for a month in 2023, and his season ended with an oblique tear. After he hit 29 homers in his age-18 rookie season, Kang has just 14 combined across the last two campaigns. He already had hit tool question marks because of a huge, hard-to-time leg kick, and now this full-body rash of injuries adds to the risk associated with his prospectdom. Peak Kang has plus power and one of the more aggressive, entertaining swings in Asian pro ball. In his early 20s, I evaluated him on the level of a mid-to-late-second round collegiate draft pick. Now I need to see a meaningful rebound in his production before grading him on that 40+/45 FV level again. We were looking at a post-2024 matriculation to MLB based on the league's international signing rules, but that feels far less likely now.",,"kr3012665"
"Paulino Santana","RF","Int'l Amateur",2024,"17.1583333","Dominican Republic",,"TEX",1400000,"6' 1""","170","R","R","40","High","There was a time when Santana was connected to the Dodgers, but during the last several months something changed and he suddenly had a $1.3 million agreement with Texas. Santana played for the Arkansas Sticks travel ball team in Jupiter in October and stood apart from all but a few talented U.S. high schoolers at the event. He's an explosive rotational athlete with a tendency to inside out pitches to right field. His proclivity for opposite field contact is so extreme that it's actually a bit concerning, as Santana's barrel takes forever to get to a spot where he'd be able to pull the ball with power. The fluidity of his hips, his raw bat speed, and Santana's physical projection are all strong, positive scouting elements that give him the power-hitting potential to profile in a corner if it turns out my concerns about his swing are unfounded.",,
"Jose Ramos","CF","Int'l Amateur",2024,"17.2861111","Venezuela",,"OAK",1200000,"6' 1""","170","L","R","40","High","Ramos is a plus-plus runner with plus bat speed and very undercooked feel to hit. There's a ton of risk here, but Ramos' combination of an up-the-middle defensive fit (thanks to his speed) and his power potential give him enough upside to value him an FV tier above the corner guys with hit tool question marks. It's atypical for Oakland to commit seven figures to a prospect as early as they reportedly did with Ramos, who is expected to sign for $1.2 million.",,
"Leonardo Pineda","CF","Int'l Amateur",2024,"16.7305555","Dominican Republic",,"TBR",1750000,"6' 0""","170","R","R","40","Med","Pineda has good looking bat speed but is too slight to be a top-of-the-class prospect. He's a smaller-framed player who runs and throws well, a virtual lock to stay in center field as he matures. Scouts also like how hard he plays. There's less overt ceiling here than is typical in the international market, which is why Pineda's mean outcome is viewed more as a reserve outfielder.",,
"Edgar Montero","3B","Int'l Amateur",2024,"17.1472222","Dominican Republic",,"OAK",1200000,"6' 1""","185","S","R","40","High","International scouts generally see the switch-hitting Montero as having a pretty stable hit/power combination, though they also think he's a better fit at either second or third base rather than shortstop, where he'll likely begin his career. He's purported to have a $1.2 million deal with Oakland.",,
"Min Suk Kim","CF","KBO",2030,"19.6805555","South Korea","Lotte Giants",,,"6' 0""","182","L","R","40","High","The third pick in the 2023 KBO draft, Kim played shortstop for the Geelong-Korea team in the Australian Baseball League as an 18-year-old in 2022, then became Lotte's starting center fielder in 2023. He is a lanky, projectable athlete with a lovely swing and feel for all-fields contact. His top hand desperately needs to get stronger and more involved with his swing. Min-suk's athleticism, and competence and experience at multiple premium positions, gives him a big league utility outcome if he can get a bit stronger.","JjkSwEnzyAo","kr3020694"
"Ju Won Kim","SS","KBO",2028,"21.4555555","South Korea","NC Dinos",,,"6' 1""","183","S","R","40","High","Ju Won is a fairly projectable switch-hitting shortstop who took a step forward on defense in 2023. He still doesn't have ideal shortstop arm strength, but he looked much better in this regard than he did in 2022. Kim didn't progress on offense, only slashing .233/.328/.340, but I still really like his combination of physical projectability and bat control. He'd be a third or fourth round draft prospect as a college infielder and is worth monitoring for the next couple of seasons.",,"kr3015141"
"Kaima Taira","SIRP","NPB",2025,"24.1638888","Japan","Saitama Lions",,,"5' 8""","220","R","R","40","Med","Built like a catcher, Taira looked like a late-inning power reliever until 2023, when he moved into the Lions rotation and lost about three ticks from his fastball and totally changed his arm slot. He went from sitting 97-98 mph to sitting 93-94, and his fastball now has more tail than vertical carry. While Taira's splitter is still plus, his overall mix has taken a substantial hit and he looked fairly out of shape in 2023. He's now in more of a bounce-back bucket, worth following to see if his stuff rebounds in 2024. If not, he has more of a middle-relief MLB outlook.","5ZFV-qhVkPM",
"Jesus Made","2B","Int'l Amateur",2024,"16.6833333","Dominican Republic",,"MIL",950000,"6' 1""","170","S","R","35+","Med","Made is a compact, switch-hitting infielder. While he's quite athletic, Made's power is limited by his lack of size. His swing is a bit long but, at just 5-foot-8, he is likely to be on time enough to spray line drives everywhere. Whether he has the arm strength to play shortstop will influence whether Made has a chance to be a regular.",,
"Luis Manuel León","SS","Int'l Amateur",2024,"17.4805555","Cuba",,"STL",1000000,"6' 1""","160","R","R","35+","High","The younger brother of Astros prospect Pedro Leon, Luis is a SS/CF prospect with blazing speed. He has quick wrists in the batter's box but needs to get stronger. If enough contact and OBP skills develop here, then León could be an old school leadoff man who plays an up-the-middle position.",,
"Franklin Rojas","C","Int'l Amateur",2024,"16.8166666","Venezuela",,"TOR",1100000,"5' 10""","170","S","R","35+","High","Rojas packs quite a punch for such a small hitter, and he's a lot of fun to watch swing because of how much effort and power he has at his size. He may have trouble making contact with this approach, but he's a plus thrower with an okay chance to catch.",,
"Branneli Franco","SP","Int'l Amateur",2024,"16.9416666","Dominican Republic",,"STL",800000,"6' 3""","175","R","R","35+","High","Franco is perhaps the most powerful on-mound athlete in the 2024 international class and has some of the best present velocity. He has an ideal pitcher's frame and might throw very hard at maturity. The Cardinals, connected to Franco for about $800,000, will be tasked with helping him develop his pedestrian breaking ball.",,
"Erick Matos","SP","Int'l Amateur",2024,"16.9833333","Cuba",,"OAK",700000,"6' 4""","190","R","R","35+","High","International scouts see Matos as one of the more projectable pitchers in the 2024 class. He's already been up to 93 mph and, at 6-foot-4, could grow into big time arm strength over time. Matos is still searching for a good breaking ball. His fans think he'll eventually have a really hard slider that lives off velo rather than movement. One scout has also seen Matos throw a splitter and thinks he might become a mid-90s fastball/splitter bully like Alex Cobb or Taijuan Walker. Whether the A's, rumored to have a $700,000 agreement with Matos, can tease out a plus secondary pitch remains to be seen; lots of other teams would have loved the chance.",,
"Jalvin Arias","RF","Int'l Amateur",2024,"17.2861111","Dominican Republic",,"PHI",1400000,"6' 4""","215","R","R","35+","High","Perhaps the most physically mature hitter in the 2024 class, Arias is built like an SEC tight end prospect at 6-foot-4 and 220 pounds or so. As you can imagine, he has thunderous raw power. He's also surprisingly fast once underway, and has a plus arm. His speed gives Arias a shot to be a good right fielder at maturity despite his size. Like a lot of the players who earn bonuses around $1.5 million, Arias has some loud tools and some relevant potential flaws, in this case his hit tool.",,
"Angel Feliz","3B","Int'l Amateur",2024,"17.1611111","Dominican Republic",,"WSN",1800000,"6' 3""","190","R","R","35+","High","Feliz is a lanky, broad-shouldered, slower-twitch athlete with some swing length and stiffness. Teams tracking bat-to-ball performance have a better eval on Feliz's hit tool than I do based on eyeball looks at his swing. This is the second consecutive year Washington has a big bonus player coming out of the Dominican ""Banana Academy,"" a group that has sometimes showcased in Arizona while I've lived here. There are teams that like Feliz's hit/power combo enough to project him as a third base regular. I'm a bit more apprehensive, but see the power/projection elements here.",,
"Stiven Martinez","RF","Int'l Amateur",2024,"16.4333333","Dominican Republic",,"BAL",950000,"6' 3""","175","R","R","35+","High","There are scouts who think Martinez, who is a broad-shouldered 6-foot-4, will develop plus-plus raw power at maturity. He also has a huge outfield arm. At one point the Yankees were connected to Martinez, but over time the Cardinals and Orioles emerged, with Baltimore reportedly agreeing to a deal for just shy of $1 million.",,
"Eduardo Beltre","RF","Int'l Amateur",2024,"17.2611111","Dominican Republic",,"MIN",1500000,"5' 11""","170","R","R","35+","High","Beltre is a tightly-wound corner outfield prospect with impressive power. His best swings produce epic pull-side bombs, but Beltre's barrel is currently much less precise and dangerous against pitches he can't pull. He runs pretty well right now, but Beltre's size and general stiffness funnel his projection to an outfield corner.",,
"Brailyn Brazoban","RF","Int'l Amateur",2024,"18.0138888","Dominican Republic",,"PIT",2000000,"6' 2""","180","L","L","35+","Med","The classic right field profile (power projection, arm strength, hit tool questions) is common in the international amateur market. There are scouts who think Brazoban's is a turbo-charged version of that, and that the big-framed lefty has enough pop to be elevated an FV grade above this. I don't see quite enough twitch and high-end athleticism for that, plus Brazoban should have more power than his peers at this stage, as he's a year and a half older than some of them.",,
"Edward Lantigua","LF","Int'l Amateur",2024,"17.1972222","Dominican Republic",,"NYM",950000,"6' 3""","170","R","R","35+","High","Lantigua is a slower-twitch corner outfield prospect with substantial frame-based power projection.",,
"Nestor Miranda","1B","Int'l Amateur",2024,"17.8916666","Dominican Republic",,"DET",1500000,"6' 3""","200","R","R","35+","High","Miranda was eligible to sign last year and, at nearly 18 years old, is one of the oldest non-pitching prospects in the class. He has absurd power for a teenage hitter, the kind of juice you can feel in your chest when he connects. Currently a third baseman, Miranda is almost certainly ticketed for first base over time, which puts a ton of pressure on his hit tool to facilitate all that power. The Tigers reportedly have a deal with Miranda for $1.5 million.",,
"Yohendry Sanchez","C","Int'l Amateur",2024,"17.1805555","Venezuela",,"SFG",1400000,"5' 11""","200","R","R","35+","Med","Sanchez is a viable defensive catcher prospect (his arm strength is better than his receiving right now) with above-average power for a hitter his age. There are scouts who think he'll develop truly plus raw power at peak and others who think he's more or less maxed out.",,
"Cesar Yanquiel Hernandez","OF","Int'l Amateur",2024,"20.7277777","Cuba",,"HOU",1700000,"5' 11""","195","L","L","35+","High","Teams have wildly variable evaluations of Hernandez, who has experience on Cuba's National Team. Evaluations of his speed and raw power are not contentious, but whether or not scouts think he'll hit is all over the place. There is more meaningful video backlog of Hernandez than a lot of other prospect because of his age and experience, and I fall into the skeptical camp.",,
"Eduardo Herrera","3B","Int'l Amateur",2024,"17.225","Venezuela",,"CHW",1800000,"6' 3""","180","R","R","35+","High","The White Sox have tended to stash bonus money in the international space in the event a Cuban prospect hits the market late in the process, but things appear to be changing as they reportedly have a bonus agreement of approximately $1.8 million with Herrera, a power-hitting third baseman from Venezuela. The risk associated with Herrera's hit tool is significant and he seems relatively new to third base, as I spoke with multiple international scouts who had him listed as a catcher.",,
"Jo Hsi Hsu","SIRP","CPBL",2027,"23.2027777","Taiwan","Wei Chuan Dragons",,,"5' 10""","167","R","R","35+","Med","A Tommy John surgery kept Hsu from pitching in 2022. When he returned very late in 2023, only in time to pitch roughly 15 innings before the end of the season, his stuff was back. Hsu sat 94-96 during three-inning bursts and mixed in three different secondaries. Command and secondary development were paramount for him before the injury, as he showed big velo during his age 20 rookie season in Taiwan. It looked like he might have leveled up his mid-80s slider and splitter, as well as a slower curveball, at the end of 2023. He's very wiry and has a pretty violent delivery, so I'm projecting him to the bullpen in the U.S., but if Hsu can show four good pitches and hold some semblance of this velocity across an entire healthy season, he'd merit re-evaluation in this way.",,
"Dong Ju Moon","SP","KBO",2029,"20.0583333","South Korea","Hanwha Eagles",,,"6' 2""","216","R","R","35+","High","Moon is one of the better young pitching prospects in Korea, as he has something closer to a typical MLB pitching prospect's frame and plus-plus present arm strength. Thrust into a starter's role in which he worked 188 innings as a 19-year-old, Moon held mid-90s velo all season and touched 99-100 at peak. He also has a hard, mid-to-upper-80s slider and upper-70s curveball, both of which flash bat-missing depth. There are some round-down elements to Moon's fastball, and his command and overall game need polish, as you might expect from a pitching prospect this age. But his ability to sustain premium velo (for Korea, anyway) while dealing with a huge 2023 innings increase is a promising sign for his long-term future.",,"kr3018231"
"Si-hwan Roh","3B","KBO",2026,"23.1138888","South Korea","Hanwha Eagles",,,"6' 1""","211","R","R","35+","Med","Roh, who went third overall in the 2018 KBO draft, drastically altered his physique and swing, and had a huge power breakout in 2023 when he slashed .298/.388/.541, good for a 156 wRC+ in Korea. This was the second major swing adjustment of Roh's career, and he now has a big, slow leg kick and variable stride direction. Roh's thunderous hands are capable of generating all-fields power with the flick of his wrists, and he hit 31 homers in 2023, more than the previous two seasons combined. He looks better at third base than ever before, and plays low to the ground in a way that makes him especially adept at picking short hops. Though there are times when he closes off and covers the outer third of the zone with aplomb, Roh's leg kick often causes him to bail on sliders a little too early, and his hips end up flying open to the third base side a lot, causing him to swing inside sliders that finish on the plate. He's more of a mistake hitter than he is pounding pitches all over the zone, but his uptick in production and change in physicality is notable. If he can take another leap during the next two years, then Roh might be a viable 25-year-old free agent after the 2025 season.",,"kr3012734"
"Eui Lee Lee","SP","KBO",2028,"21.5777777","South Korea","Kia Tigers",,,"6' 1""","198","L","L","35+","Med","Lee hasn't progressed quite as I hoped when I updated this report last year. His command regressed in 2023, and it looks like he could be getting more out of his lower body mechanically if it were stronger and more flexible. Lee's fastball could be very sneaky for a 90-91 mph pitch because of its other traits, which could be accentuated further if he could get deeper into his legs as he peddles home. His slider and changeup quality are both good enough to miss bats, and this starter's repertoire foundation is why he's still on The Board after a 2023 regression. Lee needs to develop as an athlete to level up enough to be a big leaguer down the line.",,"kr3014756"
"Adam Plutko","SP","KBO",2024,"32.2805555","UCLA","LG Twins",,,"6' 3""","215","R","R","35+","Low","After working in long relief during his last MLB season, Plutko was back in a KBO rotation for the last two years and pitched well despite losing a few ticks of velocity. He sits 88-89 mph but has plus command of a deep repertoire led by a plus slider. He looks like a fair spot starter option because of his ability to throw strikes, but he isn't a big-time impact player.",,"15846"
"Woo-young Jung","SIRP","KBO",2026,"24.4027777","South Korea","LG Twins",,,"6' 3""","187","R","R","35+","Med","Jung has the look of a righty specialist reliever à la Adam Ottavino. He's generated a groundball rate over 80%(!) each season of his career. The low-slot, drop-and-drive righty has been up to 96 mph, but Jung tends to live in the 92-94 range with big tail and sink. He can also cut his fastball and live at the letters with that pitch. He has trouble creating depth on a breaking ball and needs to find a changeup or some kind of diving secondary pitch to be a big league arm, but he's a fairly young bullpen prospect with a lot of characteristics teams look for in a relief specialist.",,"kr3012714"
"Deok-ju Ham","SIRP","KBO",2024,"29.0027777","South Korea","LG Twins",,,"5' 11""","172","L","L","35+","Low","Ham is like a lefty César Valdez, a trick-pitch KBO reliever with a Bugs Bunny changeup. His arm action looks more like that of a cricket bowler (and even that's not exactly right) than a typical pitcher. After his hands break, his wrist cocks toward his forearm, and then on disconnection he also bends at the elbow, and for a brief moment as he's striding, his left arm is spiraled like a big cinnamon roll before he unfurls to throw. Out of this funk delivery comes an upper-70s changeup that sinks in all directions. It's very unpredictable and disorients hitters. Ham only sits 86-89 mph but his fastball punches a bit above its weight because of its carry, enough to be usable. He can get ahead of hitters with a slow curveball, which relieves some of the pressure that would otherwise be on his heater to do this. He could be a fun lower-leverage option in an MLB bullpen.",,"kr3012366"
