Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
,0,"Alex Ramírez","NYM","RF","ST",2025,"40+","High",,"21.1638888","6' 3""","175","R","R",2019,"J2","NYM",2050000,"Dominican Republic","Ramírez is coming off a lackluster 2023 spent entirely at High-A Brooklyn, where he ended 2022. He now owns a .240/.316/.354 line in 174 games at that level. If you had told me a year ago that Ramírez was going to partially remedy his free-swinging approach in 2023, I would have told you that he'd had a breakout that placed him among the top 50 or so prospects in baseball. Instead, even though his swing rate dropped five percentages points and his chase rate dropped seven, Ramírez had a mediocre year marred by poor quality of contact and struggles against fastballs. The exciting buggy whip bat speed that made Ramírez a top 100 prospect last year is still present, but the amount of movement and length it takes to get his barrel going has become a problem, or at least I've now realized that it's a problem. 
One other issue here is that Ramírez is becoming tougher to project in center field. Even though he mostly played center in 2023 and has the ball skills to play there, his routes are not crisp and Ramírez is only running 4.3 from home to first, which is a slower than is typical for a good center field defender. His wispy frame has room for another 20 or maybe 30 pounds, and with that weight and strength could come more raw power, but it will also probably be the nail in the center field coffin. There is still sizable long-term upside here if all the power arrives, but my Jose Siri, streaky late-bloomer comp of the last couple of years is evaporating due to changes in my defensive projection for Ramírez, whose overall stock has begun to teeter.","8u-cBOEpR_M","sa3014695"
,9,"Ryan Burrowes","CHW","SS","A",2027,"40+","High",,"19.5694444","6' 2""","170","R","R",2022,"Intl15","CHW",75000,"Panama","Burrowes signed with the White Sox out of Panama for less than $100,000 and has quickly become one of their system's more exciting youngsters despite some data-oriented flaws that cropped up in 2023. Broad shoulders tapering down to a high, narrow waist give Burrowes the look of a Division-I cornerback, and allow for fairly exciting power projection for a likely long-term shortstop. Burrowes can move the barrel around the zone fairly well, but he is often late to the ideal point of contact, and he doesn't seem to recognize spin well. His 6.7% walk rate on the complex last year would ordinarily be a bright red flag, but his underlying chase data, while still not great, isn't quite as terrifying. Burrowes' defensive projection gives him a good shot to be a utility guy, and if he can add strength to his frame (and the in-game power that should hopefully come with it), he can have a flawed hit tool and still be a second division regular.",,"sa3018619"
,9,"Alex McFarlane","PHI","SIRP","A",2026,"40+","High",,"22.7583333","6' 4""","215","R","R",2022,"Draft","PHI",572500,"Miami","I considered McFarlane to be a pure relief prospect when he was at Miami, but the Phillies decided to try to develop him as a starter, and for the first two months of 2023, it looked as though they really had something. He punched out 50 hitters in his first 37 innings and worked efficiently enough to pitch into the fifth and sixth inning during several starts, a rarity for him at Miami. After his June 10 start, however, the Phillies began to drastically limit the length of McFarlane's outings, his stuff waned, and he was ultimately shut down at the end of August. A source close to the situation told me McFarlane had Tommy John during the offseason (I'm not sure of the exact date), which will put him out for all of 2024. 
Healthy 2025 McFarlane could enjoy a Kerkering-like rise through the minors, especially if the Phillies decide to 'pen him. When he was totally healthy early in 2023, McFarlane was sitting 98-100 mph, then he backed into the 94-97 range closer to when he was shut down. His monster arm strength helps make up for his fastball's tailing shape, created by McFarlane's nearly side-arm delivery. His gyro slider induced a plus-plus 21% swinging strike rate against A-ball hitters (an important caveat) in 2023, and McFarlane also has a rare changeup that he threw fewer than 50 times last season. 
There were good reasons for the Phillies to try to develop him as a starter. Miami doesn't seem to max out their pitchers on campus, and McFarlane's fastball featured better sink in pro ball. He also has a great pitcher's frame and is a fabulous on-mound athlete. But now that he's going to miss all of 2024 and enter his 40-man evaluation season (2025) with so few innings under his belt, it's much more likely McFarlane is moved quickly as a potential late-inning weapon, assuming his stuff comes back after his rehab.",,"sa3020633"
,10,"Nick Frasso","LAD","SP","AAA",2024,"45+","High",,"25.4","6' 5""","200","R","R",2020,"Draft","TOR",459000,"Loyola Marymount","Frasso was an atypical college draftee, with his prospectdom more about projection than present stuff. He started throwing harder pretty quickly, sitting 95 mph early in 2021 when he had merely topped out there at Loyola Marymount, but in June of that year, Frasso blew out and required Tommy John. Not even 11 months clear of the surgery, Frasso looked fantastic on the Blue Jays backfields, sitting 94-96 and touching 97-98 in early outings, and he was traded to Los Angeles for Mitch White not long after that. Frasso then had a fantastic 2023 minor league season, during which he K'd nearly 40% of opponents while walking only 8%. He held mid-90s velo all year, throwing 93 innings in his first full season removed from Tommy John. His breaking ball added more power for the second straight year, as Frasso has gone from a low-80s slurve to an 85-87 mph slider across the last couple of seasons, and he also has a high-spin changeup <a href=""https://blogs.fangraphs.com/dodgers-prospect-nick-frasso-throws-heat-and-is-learning-what-works/"" target=""_blank"">with lots of horizontal movement</a>. 
He made a strong argument to be included on the Top 100 Prospects list, but Frasso hurt his shoulder at the very end of the season and needed labrum surgery in November. It will likely keep him out for all of 2024, is his second major injury in a relatively short span of time, and alters Frasso's FV more than a TJ because shoulders tend to be more disruptive and can have lasting negative impact. Compounding those worries are Frasso's mechanics, which are entertaining as hell to watch but not typical of a big league starter. He has a deceptive cross-body delivery that generates huge extension, like a stiffer and less graceful Freddy Peralta. Frasso's command has been solid in spite of his mechanical weirdness and he has the stuff of a mid-rotation starter, but the injuries feel like a harbinger of sorts. As such, Frasso is tough to ""value."" If you wanted to tack him immediately behind Daniel Espino on the universal prospect list you could, which is essentially what's been done here.","pngHh7McrL4","sa3014492"
,10,"Josh Kasevich","TOR","3B","ST",2027,"45","Low",,"23.1527777","6' 1""","200","R","R",2022,"Draft","TOR",1216700,"Oregon","Before being drafted in 2022, Kasevich posted a microscopic strikeout rate in his final season at University of Oregon and continued to impress upon joining Low-A after the draft, finishing the season with more walks than strikeouts during his 25-game stint there. He spent all of 2023 at High-A, where he improved in every column of his triple-slash line, while striking out just 10.7% of the time and nearly matching that in walks, this time over a full season. His 5.2% swinging strike rate was the among the very lowest in all of the minor leagues, further illustrating his knack for getting his bat on the ball, but his minute barrel rate adds clarifying detail. Kasevich’s contact skews heavily toward singles, mostly comprised of flare popups and well-placed soft line drives to the shallow part of the outfield, making him a hyper-realized contact-over-power prospect. Defensively, Kasevich has mostly spent time at shortstop (his college position), but his range and arm utility are iffy fits there, in particular grounders to his right. He’s better moving to his glove-side, which seems conducive to a possible move to third base, where he also notched a substantial number of innings in 2023 and is likely to see more time going forward as the Jays reckon with a potentially Matt Chapman-less future. We have Kasevich forecast to produce like Kevin Newman has during his better seasons.","sGfGXtOl8O0","sa3020203"
,10,"Jorbit Vivas","NYY","2B","ST",2024,"45","Low",,"23.0083333","5' 10""","171","L","R",2017,"J2","LAD",300000,"Venezuela","Vivas came over via trade from a Dodgers org that needed to clear 40-man space for Shohei Ohtani. There are a number of very young infield prospects in the Yankees system similar to what Vivas looked like at the same age: a Lilliputian second baseman with a promising hit tool and modest power projection due to their size. He is coming off a season where he slashed .280/.391/.436 at Double-A Tulsa prior to a late-season swoon at Oklahoma City. Vivas is still short but he's no longer small, as over the last couple of years his back, shoulders, arms, and thighs have all buffed up to an impressive size. This has resulted in a modest uptick in power, and after Vivas hit just two total homers in his first couple of pro seasons, he's reached double digits in each of the last three. But Vivas' skill set is still rooted in his bat-to-ball skills, which are enhanced by his compact swing and short-levered stature. He's a dynamic in-the-box athlete who swings really hard but still makes a ton of contact, running an 88-89% in-zone contact rate each of the last two seasons. While he has experience at both second and third base, Vivas' arm strength is not typical of a big league left side infielder. Without positional versatility helping to carry him to a big league role, he looks more like a second-division second baseman who'd perform at a 1.5-ish WAR clip across a whole season of at-bats. He is stacked behind Gleyber Torres and Oswald Peraza on the Yankees depth chart, though he could be a lefty-hitting platoon partner for DJ LeMahieu if the Yankees feel the need to shake things up at third base.",,"sa3005511"
,10,"Tyler Black","MIL","1B","ST",2025,"40+","Med",,"23.6277777","5' 10""","204","L","R",2021,"Draft","MIL",2200000,"Wright State","Black is entertaining as hell to watch play baseball, but I am skeptical that he's going to be the foundational young player that some folks across baseball think he'll be. He’s fast, he has a keen eye, he plays with lots of effort, and he swings hard for a small-ish guy. He slashed .284/.417/.513 across Double- and Triple-A in 2023 and raised his career minor league line ton excellent .279/.415/.465. For the last couple of years, Black (and my forecast for him) has been fumbling around for a defensive home. He has largely played second base during the last half decade and gave center field a try in 2022, but moved to third base in 2023 and even began to get some reps at first. He actually looked pretty good at third base aside from his throwing stroke, which sometimes looks odd and lacks accuracy. It's a big enough issue that I have him projected to first base and will speculate he'll eventually play the outfield corner, as well. Black's 2023 power output was likely a caricature of his true ability. His game is grounded in his contact and (more significantly) on-base skills. He lacks the power typical of a corner infielder and I also have some reservations about his ability to carry above-average contact rates to the big leagues. Black needs a ton of effort to swing hard and his head often flies all over the place. His swing also has a hole in it (up and away) that will be probed by big league fastballs until he proves he can close it. So no, I don't have Black evaluated as an everyday player. Because he's backed into a fair bit of defensive versatility, runs well, and has a plus-plus skill in his plate discipline, he'll still have roster utility as corner role player of modest impact.","_0WzwN2Qt4o","sa3017623"
,10,"Dillon Dingler","DET","C","ST",2024,"40+","High",,"25.4861111","6' 3""","210","R","R",2020,"Draft","DET",1950000,"Ohio State","Dingler has a luxury backup catching skill set similar to Jake Rogers', headlined by premium arm strength and limited by a bottom-of-the-scale contact ability. Dingler has lost a great many reps to injury — broken hamate, broken finger, and a 2023 meniscus surgery — and I suppose you could argue his hit tool will have late growth as he gets deeper into his 20s, but I am not inclined to project that. I do think he'll have some peak years where, like Rogers or Austin Hedges, Dingler gets to enough of his power to perform like an average primary catcher, but he'll likely be a runner-stopping backup for the bulk of his time as a big leaguer. Dingler began catching on one knee coming off the meniscectomy and took to it rather smoothly. He's still not a great receiver, but neither his ball-blocking nor his throwing have suffered because of the move. Dingler routinely pops in the 1.80s and uncorked an all-world 1.7-second lightning bolt to the bag in late September with Toledo. He's a medium-framed athlete who has been hurt a lot, which further funnels him into the backup bucket, but Dingler's power and arm strength give him a pretty juicy toolset for someone in that role.",,"sa3014528"
,10,"Prelander Berroa","CHW","SIRP","ST",2023,"40+","High",,"23.9","5' 11""","170","R","R",2016,"J2","MIN",200000,"Dominican Republic","Originally a Twin, Berroa was traded to San Francisco as part of the awful Sam Dyson trade, then was traded to Seattle for Donovan Walton, and most recently to the White Sox as part of the Gregory Santos deal. He is a favorite of pitch data nerds because his 96-99 mph fastball has plus-plus quantifiable movement and his upper-80s slider generated an incredible 55% miss rate in 2023 per Synergy Sports. Berroa struck out 37% of opposing hitters at Double-A Arkansas in 2023 and has the raw stuff to pitch in the back of a bullpen if he can dial in his 30-grade control.  
As the prophecy foretold, Berroa was finally moved to the bullpen after making five starts at the beginning of 2023 and joined the legion of wild arms who are now leading with their slider and using their fastball as a two-strike chase pitch. The line on his fastball, when located at the letters, sets his slider up to freeze hitters and then dive into the zone after they've given up on it. It's not going to be an efficient operation, but Berroa has plus-plus arm strength and a nasty vertical breaking ball that are both capable of missing bats. If he can become a bit more mechanically consistent, he'll work in higher-leverage spots.",,"22932"
,0,"José Buttó","NYM","SP","ST",2024,"40","Low",,"25.9805555","6' 1""","202","R","R",2016,"J2","NYM",5000,"Venezuela","Butto is just a couple of roster days and innings away from losing rookie status. He was up and down several times in 2023, made seven solid big league starts, and looked like the fifth starter he's been projected as for the last couple of list cycles. He has a fastball-heavy approach and inelegantly bullies hitters with 93-95 mph fastballs that serve to set up his excellent mid-80s changeup and curt upper-80s slider, both of which miss bats at an above-average rate. Butto was throwing more strikes in the low minors but adopted more of a power pitcher's approach with his fastball a couple of season ago, and now tries to attack hitters at the top of the strike zone. He can beat hitters who struggle with that location, but his fastball doesn't have quite enough carry to play as a bat-misser in the meatier parts of the strike zone. He might be better served throwing more secondary pitches. He's a backend/spot starter who may trend toward a long relief role as he runs out of option years.",,"23313"
,10,"Michael Mercado","PHI","SIRP","ST",2024,"40","Low",,"24.9083333","6' 4""","200","R","R",2017,"Draft","TBR",2132400,"Westview HS (CA)","In 2023, Mercado amassed 95 strikeouts in 62 innings split between Double- and Triple-A, albeit with a 4.79 ERA. Blocked by a myriad of other worthy 40-man candidates in Tampa, he was traded to the Phillies ahead of the 2023 roster deadline and added to their 40-man. Poised to be an optionable middle reliever in 2024, Mercado's relatively new cutter really tied the rest of his repertoire (mostly fastball/curveball) together when he added it in 2022. His velocity has yo-yo'd throughout his pro career and did so again in 2023 with a move to the bullpen, ticking up to the 94-96 mph range, which he'd only occasionally shown as a starter. Mercado is capable of missing a bat when he executes any of his three main pitches, but his stuff isn't so nasty that he can carve when he's imprecise. He has minor league experience as both a closer and a long reliever, but I consider Mercado much more likely to play a consistent three-out middle-inning role in the big leagues once his option years start to dwindle.",,"sa3005024"
,11,"Brandon Barriera","TOR","SP","A",2027,"45","High",,"20.0222222","6' 2""","170","L","L",2022,"Draft","TOR",3597500,"American Heritage HS (FL)","Barriera’s first professional season was plagued by injury. He missed all of June with an elbow injury, then returned for three starts in July, after which he was shut down for the remainder of the year with biceps soreness. Two distinct injuries to his pitching arm within such a short span of time is troubling, of course, though they help explain why his velocity was down compared to his high school look (he was in the 92-93 range in 2023). Barriera's body also changed, and during the little bit he pitched for Dunedin, he looked much heavier than he did in high school. Some of the added weight is clearly muscle, but the rate at which his conditioning has regressed is somewhat concerning. He'll barely be 20 when the 2024 season begins and has gone from looking like a Ricky Tiedemann clone in many ways to being built more like Graham Ashcraft. Because he’s still a teenager, the time and ability to trim down and/or build up his body’s fortitude to avoid injury is clearly here, but it's something to watch. 
When he was able to take the mound, he was a bit on the wild side, with an inordinate number of walks and HBPs, but that came with a 31.5% strikeout rate and a ridiculous 76.3% groundball rate, which was the highest in the minors for any pitcher with at least 20 innings. Granted, it’s doubtful he’d stay on the top of that column had he accrued more innings of work, but it’s still promising for the young southpaw. Barriera is still stylistically similar to Tiedemann: A low-slinging lefty with a lot of heat on his heater when he's healthy, a lot of sweep on his sweeper, and a promising changeup, though his high school command was not great. We're slightly discouraged by his 2023 for a number of reasons, but the ceiling here is still among the most exciting in this system. A source close to this situation told us Barriera's weight is down and that it will be an area of continued focus for him during the offseason. We're hopeful that he'll bounce back and we've mostly left his pre-draft valuation intact, but we're warning readers that we'll let air out of the balloon pretty quickly if Barriera displays some of these issues again in 2024.","RSQ5j-PDi1k","sa3020683"
,11,"Justin Wrobleski","LAD","SP","A+",2025,"45","Low",,"23.6611111","6' 1""","194","L","L",2021,"Draft","LAD",197500,"Oklahoma State","Wrobleski's nomadic amateur career path wound through Clemson, State College of Florida, and finally Stillwater, Oklahoma in his draft year. Wrobleski had TJ close to the 2021 draft and didn't get on an affiliate's mound until the very end of 2022, when he was sitting 93-95 mph for no more than three innings at a time, up above his usual pre-TJ 88-91 mph range. Wrobleski more or less held that velo spike throughout 2023 and actually ended the year with several starts of velo increase, at times averaging 95 mph. 
Wrobo essentially has five pitches because of his ability to alter the shape and velocity of his fastball, and he's funneled his breaking ball usage away from his curveball and toward a slider/cutter combo that he commands very well. Can he sustain this more recent velo spike like he did the first one? The arrow has been pointing up slowly but steadily since Wrobleski returned from surgery. Even if he sits 92-93 and reaches back for more on occasion, he might be a year away from the Top 100 by virtue of his command and repertoire depth.","Xwe9FiqOeKI","sa3019501"
,11,"Yophery Rodriguez","MIL","CF","ST",2028,"40+","Med",,"18.2694444","6' 1""","185","L","L",2023,"Intl15","MIL",,"Dominican Republic","Rodriguez had a fantastic pro debut in the DSL, where he slashed .253/.393/.449 with more walks than strikeouts. He stands a chance to be a power-hitting center fielder and progress in the way that Twins center field prospect Emmanuel Rodriguez has to this point, with on-base skills and defense supporting a profile that includes a lot of strikeouts. Yophery has precocious power for a hitter his age, let alone one who is likely to stay at a premium position. He's a tightly wound athlete with some effort to his swing, and it's likely he'll whiff underneath high fastballs as he faces better velocity. His plate discipline and feel for center field should tilt the balance of his overall profile into a favorable place even if that occurs. Yophery isn't as rangy and projectable as most high-upside teenage hitters, and he's a little stiff as an athlete. For those reasons, he's valued here more like a high second-round pick than a top-tier, first-round high schooler.",,"sa3021083"
,11,"Justyn-Henry Malloy","DET","3B","ST",2025,"40+","Med",,"24.0638888","6' 1""","212","R","R",2021,"Draft","ATL",297500,"Georgia Tech","Malloy was a raw but toolsy third baseman at a New Jersey high school in 2018, but a strong commitment to Vanderbilt prevented him from getting much actual pre-draft consideration. Two years of struggles with the Commodores resulted in just 39 total at-bats before Malloy transferred to Georgia Tech for his junior year. He slashed .308/.436/.558 with more walks than strikeouts as a Yellowjacket in 2021, his only collegiate season with actual playing time. Without a clear defensive position, Malloy fell all the way to Atlanta's sixth round pick. Within a year and a half, Malloy had coasted through Double-A and a great Arizona Fall League stint with a career OBP north of .400. The Braves traded him to Detroit for Joe Jiménez during the 2022-23 offseason, and Malloy produced another huge, OBP-driven .277/.417/.474 line in 2023 with Toledo. 
While not yet on the 40-man roster, Malloy is in position to compete for big league playing time in 2024 as Detroit's third base situation evolves. Like most of the Tigers' other upper-level position player prospects, he is not a particularly good defensive infielder. After he only played the infield in college, the Braves and Tigers have given Malloy about 50 starts in the outfield corners each of the past two seasons, and while he doesn't look especially comfortable there, his air-it-out arm strength is plus. 
Malloy's thunderous hands create big power in a short distance, and he's capable of torching pull-side contact, but I don't believe he has quite enough hit tool to be a regular corner outfielder or third baseman. Big league pitchers will bully JHM in the parts of the strike zone that he struggles to cover, and in addition to the whiffs, I worry his plate skills won't shine quite like they have so far because big leaguers know they can get him out in the strike zone. His best shot at securing a meaningful big league role includes defensive versatility that isn't yet present in his skill set. 
There is still some ironing out do to on defense, but the Tigers have the luxury of another year to do it before Malloy has to be put on the 40-man, and the field of similar players ahead of him is pretty dense, which makes me think it's more likely that Malloy will debut in 2025 than in 2024. I have cautious optimism that Malloy's defense will develop enough for him to play a role like J.D. Davis has in San Francisco.",,"sa3017073"
,11,"Alex Speas","CHW","SIRP","ST",2024,"40+","High",,"26.0222222","6' 3""","225","R","R",2016,"Draft","TEX",1025000,"McEachern HS (GA)","Speas stepped away from baseball for a year and, frustrated and constantly beset by injury, nearly hung it up at age 23. Now almost 26, he's coming off another inconsistent but exciting season after remaking his repertoire and working out at Tread Athletics. For a while Speas was generating nearly twice as many whiffs as he was balls in play, which is absurd at any level, let alone at Double-A. After the Rangers promoted him, Speas' wildness cropped up again and he walked 19% of hitters at Triple-A Round Rock across 28.1 innings. The Rangers DFA'd him to make room on the 40-man for Matt Bush, who was returning from injury, and the White Sox claimed him off waivers during the postseason. Even though Speas' fastball is still topping out at an incredible 102 mph, he has begun utilizing a cutter-heavy approach because his feel for throwing that pitch for strikes is much better than any other. Those cutters tilt in anywhere from 89-95 mph with variable shape, and it can be tough to discern some of them from Speas' 85-87 mph sliders, which he throws on occasion. The velocity gains that Speas' lanky frame portended in high school have come to fruition, but because of his fastball's underlying traits and his lack of control, his pitches are only getting swinging strikes as an average rate. The White Sox are in position to give him low stakes big league reps for the next couple of seasons to see how things go. It's possible Speas will polish his elite arm strength enough to be a very good reliever over time, but initially he's probably going to be frustratingly wild. Even at his age, he's a prospect of extreme variance who could be Tayron Guerrero or could turn into a late-inning weapon.","ja_dnjJCRDU","21859"
,11,"Carlos Lagrange","NYY","SP","CPX",2027,"40+","High",,"20.7972222","6' 7""","220","R","R",2022,"Intl15","NYY",,"Dominican Republic","Lagrange is one of several huge-framed young pitchers in this system, and he's the one who has the nastiest present stuff. He's among the hardest throwers in the entire org (half a tick behind Jonathan Loáisiga) and some of his 80-84 mph curveballs have absurd two-plane break. Lagrange's fastball/curveball combo is already good enough to play toward the back of a bullpen, where he's got a good chance of ending up because of mechanical inconsistency. It's common for young pitchers of this size to have command issues, and Lagrange should be given as much time as possible to develop a deeper repertoire and better control. He and the Yankees have time, as Lagrange's default 40-man timeline puts him on track for a 2027 debut. With two dynamic pitches on board, the middle of Lagrange's outcomes look like Hunter Harvey or Bryan Abreu. If he develops better feel for and control of his body, he stands a chance to be an impact starter.",,"sa3019390"
,0,"Tyler Stuart","NYM","SP","ST",2025,"40","High",,"24.4277777","6' 9""","250","R","R",2022,"Draft","NYM",220000,"Southern Mississippi","The gigantic Stuart had a 1.55 ERA, struck out a batter per inning and generated a 50% groundball rate during 14 starts with Brooklyn. He was promoted to Double-A for the last month and a half of the season, and while he's more likely on a two-year track to the big leagues, he's polished enough that he stands a puncher's chance to debut in 2024. He has a tailing heater that sits 93-94 mph early in starts and loses a tick or two late. He can run it back over the glove-side corner of the plate or blow up hitters in on their hands even though it isn't all that hard and, partly because of Stuart's size, hitters take a pitch or two to adjust to the line on his heater. His sweeping, two-plane slider is nasty when Stuart locates it, and it's his preferred strikeout pitch, but it is very juicy when it finishes in the strike zone. Stuart's changeup isn't especially nasty but he has pretty good feel for locating it. This is a pretty impressive developmental place to be considering Stuart spent most of his college career in the bullpen, he held up under a 110-inning workload, and reached Double-A within a year of being drafted. He's a high-probability backend starter who looks like a great Day Two draft pick.",,"sa3020264"
,11,"Christian McGowan","PHI","SIRP","AAA",2025,"40","Med",,"24.0138888","6' 0""","205","R","R",2021,"Draft","PHI",577000,"Eastern Oklahoma St. (JC)","McGowan, who touched the upper-90s a few times but was mostly 92-94 before he was drafted, returned from TJ in the middle of the summer of 2023 and was deployed for as many as four innings at a time until he totaled 42.2 innings combined between the regular season and the Arizona Fall League. With a revamped delivery, he was able to sustain 94-96 mph sinkers and 85-89 mph slider/cutters for that span. McGowan looks like a reliever from a stuff, build, and mechanics standpoint. His changeup lags behind his sinker/slider combo, and the 2024 season is his 40-man evaluation year, so there are internal and external pressures funneling him toward relief even though the Phillies' usage of him in 2023 suggests they might keep stretching him out. Pushed all the way to Triple-A late in 2023, McGowan has a shot to debut in 2024 if the Phillies just 'pen him like they did with Orion Kerkering, and he's a virtual lock to debut in 2025 if he holds this stuff.",,"sa3017896"
,12,"Eduardo Quintero","LAD","CF","DSL",2028,"45","Med",,"18.4888888","6' 0""","175","R","R",2023,"Intl15","LAD",,"Venezuela","Quintero is a converted catcher who slashed a ridiculous .359/.472/.618 in the 2023 DSL and looked good playing center field. He’s a bat control maven who has shown an ability to move the barrel all over the hitting zone. An above-average athlete with a medium frame, Quintero should grow into fair power without losing the speed to play center field. His underlying contact rates aren't as great as the visual evaluation of his barrel precision, and it seems like Quintero's whiffs come more from issues with timing his swing rather than an inability to move the bat around the zone. This is an exciting skills foundation for an up-the-middle prospect, on par with a mid-to-late first round high school draftee. He might just be scratching the surface of aspects of his ability due to his recent position change.",,"sa3021208"
,12,"Jorge Quintana","MIL","SS",,2030,"40+","Med",,"16.9361111","6' 2""","170","S","R",2024,"Intl15","MIL",1700000,"Venezuela","Quintana is the latest prospect to fit what seems to be Milwaukee's favorite archetype: the hitterish Venezuelan shortstop. Though scouts universally believe Quintana will need to get stronger, he is a virtual lock to stay at short and has fantastic, advanced feel for contact from both sides of the plate. There is some disagreement about how projectable Quintana is (he's a bit thicker than most hitters this age), but if he hits and plays shortstop, he'll be a high-floor utility prospect. If the power arrives, Quintana could be an impact player.",,
,12,"Josue Briceno","DET","C","A",2028,"40+","High",,"19.4694444","6' 4""","220","L","R",2022,"Intl15","DET",,"Venezuela","After a pedestrian 2022 DSL statline, Briceno had a monstrous 2023 on the Lakeland complex, where he slashed .319/.402/.529 with seven homers. He's a huge-framed lefty-hitting catcher with nearly average raw power already at age 19. Briceno was among this system's hard-hit rate leaders at a whopping 42%, one of the few lower-level hitters consistently hitting the ball 95-plus mph. His frame has trended in a somewhat scary direction since entering pro ball, as Briceno was a lean 6-foot-4, 200 pounds when he signed and is now probably closer to 230. That happened pretty fast, and he might end up being too big to catch for very long. 
Briceno's feel for contact and power potential give him a puncher's chance of profiling at first base even if he ends up having to move. His swing has a swooping path capable of oppo spray, and he's going to be strong enough to do big damage that way at maturity. Whether Briceno and his long levers will be able to catch up to premium, upper-level velocity we just won't know until he faces it. He ended 2023 at Low-A Lakeland and is poised to be 19 for all of a full-season assignment in 2024. He arguably has the most overt upside of any low-level Tigers prospect besides Max Clark, and if Briceno can remain a catcher, you could argue his ceiling is even bigger than that because he has more overt power projection than Clark. Teenage catchers are already one of the riskiest player demos, but Briceno could be 2024's Samuel Basallo.",,"sa3018584"
,12,"Kendry Rojas","TOR","SP","A",2026,"40+","High",,"21.2944444","6' 2""","190","L","L",2020,"J2","TOR",,"Cuba","Rojas signed out of Cuba in October of 2020 and has slowly been percolating in Dunedin for the last three years, either on the complex or with the Low-A team. His arm strength has slowly but steadily improved during that time and he sat 92-93 throughout 2023 amid a 40-inning uptick in his workload. Rojas has an ideal pitcher's frame and a somewhat cross-bodied delivery with a vertical arm slot. He generates about 18 inches of induced vertical break on his heater on average. Hitters of either handedness have difficulty picking up Rojas' two-plane slider, which he can use as a strike-getting offering or as a chase pitch in the dirt. Despite his relative inexperience, Rojas has always made fairly liberal use of his changeup, which, along with his slider, garnered a plus swinging strike rate in 2023. Assuming a standard 20-inning boost, Rojas is on pace to be working about 120 annual innings starting in 2025, his 40-man evaluation year. He presents a great combo of present skill and projection, and if he shows yet another velo uptick in 2024, then he's a threat to join the Top 100 list.",,"sa3016746"
,12,"Jordan Leasure","CHW","SIRP","ST",2024,"40+","High",,"25.575","6' 3""","215","R","R",2021,"Draft","LAD",125000,"University of Tampa","Leasure has had a significant velo spike across the last couple of seasons, and leapt from the 94-96 mph range to 96-98 between 2022 and 2023 before the Dodgers traded him to the Sox as part of the Lance Lynn/Joe Kelly trade. Chicago sent him straight to Triple-A after they acquired him and, though Leasure had a high ERA there, he actually showed some developmental progress with regards to his curveball usage, which ticked up at Charlotte and then again in the Arizona Fall League. 
Make no mistake, Leasure's best pitch is his fastball, which also added a few grades worth of movement in 2023. Leasure's violent, vertical-slotted delivery generates big carry on his heater, giving it in-zone bat-missing ability. His fastball execution, both with regard to throwing strikes and the quality of them, is well below average, but the pitch is nasty enough for him to get away with that. His most-used secondary is currently a hard, upper-80s slider/cutter that has variable shape because of Leasure's mechanical inconsistency. It's a nasty, late-breaking pitch that will be an effective second weapon if he can spot it more consistently as he gets comfortable with his relatively new arm strength. I'm not sure the curveball will be able to usurp it even though it theoretically should tunnel better with his fastball. It's a 12-to-6 offering in the low-80s and looked about average in the AFL. 
A fastball like this should enable him to be more than just a generic middle reliever, but there's not quite enough secondary stuff to project Leasure as a setup man or closer on a contender. He stands a chance to work higher-leverage innings for the Sox in the coming season.",,"sa3017607"
,12,"Agustin Ramirez","NYY","C","ST",2025,"40+","High",,"22.5055555","6' 0""","225","R","R",2018,"J2","NYY",,"Dominican Republic","In part because of the pandemic and the crowded field of catchers at the level above him, it took Ramirez four years to exit rookie ball, which he did emphatically in 2023. He slayed the Florida State League for two months before back-to-back one-month stints at High-A Hudson Valley and Double-A Somerset to close out the year. Ramirez's offensive performance tapered off with each subsequent promotion and his defense remains a bit unkempt. His receiving around the edge of the zone and raw arm strength are both fine, but Ramirez is currently pretty bad at picking balls in the dirt, and his slow exit from his crouch drags his pop times down into an average range. He isn't ready to be a big league defender just yet, but he isn't so bad to that I'm projecting him to first base. This is still a young catcher with rare power at a position where players tend to break late. He needs to stop chasing sliders and pulling off ones that finish on the outer edge of the plate; Ramirez's performance against sliders was his biggest problem after arriving in Somerset. If he can improve in this regard, Ramirez has a bat-first backup catcher's floor and enough offensive talent to carve out a larger role where he also gets a start or two at DH every week. He's now on New York's 40-man roster, which is crowded with catchers, making it likely he spends all of 2024 developing his defense in the minors.",,"sa3009276"
